mz_rt	170706_Blk_Blk0p2_1.mzML	170706_Blk_Blk0p2_2.mzML	180205_Poo_TruePoo_Full1.mzML	180205_Poo_TruePoo_Full2.mzML	180205_Poo_TruePoo_Full3.mzML	180205_Poo_TruePoo_Half1.mzML	180205_Poo_TruePoo_Half2.mzML	180205_Poo_TruePoo_Half3.mzML	180205_Smp_L1C32DCMless10m_A.mzML	180205_Smp_L1C32DCMless10m_B.mzML	180205_Smp_L1C32DCMless10m_C.mzML	180205_Smp_L1C32DCMless20m_A.mzML	180205_Smp_L1C32DCMless20m_B.mzML	180205_Smp_L1C32DCMless20m_C.mzML	180205_Smp_L1C33DCM_A.mzML	180205_Smp_L1C33DCM_B.mzML	180205_Smp_L1C33DCM_C.mzML	180205_Smp_L1C33DCMplus10m_A.mzML	180205_Smp_L1C33DCMplus10m_B.mzML	180205_Smp_L1C33DCMplus10m_C.mzML	180205_Smp_L1C33DCMplus20m_A.mzML	180205_Smp_L1C33DCMplus20m_B.mzML	180205_Smp_L1C33DCMplus20m_C.mzML	180205_Smp_L2C1DCMless10m_A.mzML	180205_Smp_L2C1DCMless10m_B.mzML	180205_Smp_L2C1DCMless10m_C.mzML	180205_Smp_L2C1DCMless20m_A.mzML	180205_Smp_L2C1DCMless20m_B.mzML	180205_Smp_L2C1DCMless20m_C.mzML	180205_Smp_L2C2DCM_A.mzML	180205_Smp_L2C2DCM_B.mzML	180205_Smp_L2C2DCM_C.mzML	180205_Smp_L2C2DCMplus10m_A.mzML	180205_Smp_L2C2DCMplus10m_B.mzML	180205_Smp_L2C2DCMplus10m_C.mzML	180205_Smp_L2C2DCMplus20m_A.mzML	180205_Smp_L2C2DCMplus20m_B.mzML	180205_Smp_L2C2DCMplus20m_C.mzML	180205_Std_4uMStdsInH2O_1.mzML	180205_Std_4uMStdsInH2O_2.mzML	180205_Std_4uMStdsInMatrix_1.mzML	180205_Std_4uMStdsInMatrix_2.mzML	180821_Poo_Day1and2Poo_Full1.mzML	180821_Poo_Day1and2Poo_Full2.mzML	180821_Poo_Day1and2Poo_Full3.mzML	180821_Poo_Day1and2Poo_Full4.mzML	180821_Poo_Day1and2Poo_Full5.mzML	180821_Poo_Day1and2Poo_Full6.mzML	180821_Poo_Day1and2Poo_Half1.mzML	180821_Poo_Day1and2Poo_Half2.mzML	180821_Poo_Day1and2Poo_Half3.mzML	180821_Poo_Day1and2Poo_Half4.mzML	180821_Poo_Day1and2Poo_Half5.mzML	180821_Poo_Day1and2Poo_Half6.mzML	180821_Smp_MS10C215m_A.mzML	180821_Smp_MS10C215m_B.mzML	180821_Smp_MS10C215m_C.mzML	180821_Smp_MS10C2175m_A.mzML	180821_Smp_MS10C2175m_B.mzML	180821_Smp_MS10C2175m_C.mzML	180821_Smp_MS10C2DCM_A.mzML	180821_Smp_MS10C2DCM_B.mzML	180821_Smp_MS10C2DCM_C.mzML	180821_Smp_MS11C215m_A.mzML	180821_Smp_MS11C215m_B.mzML	180821_Smp_MS11C215m_C.mzML	180821_Smp_MS11C2175m_A.mzML	180821_Smp_MS11C2175m_B.mzML	180821_Smp_MS11C2175m_C.mzML	180821_Smp_MS11C2DCM_A.mzML	180821_Smp_MS11C2DCM_B.mzML	180821_Smp_MS11C2DCM_C.mzML	180821_Smp_MS12C115m_A.mzML	180821_Smp_MS12C115m_B.mzML	180821_Smp_MS12C115m_C.mzML	180821_Smp_MS12C1175m_A.mzML	180821_Smp_MS12C1175m_B.mzML	180821_Smp_MS12C1175m_C.mzML	180821_Smp_MS12C1DCM_A.mzML	180821_Smp_MS12C1DCM_B.mzML	180821_Smp_MS12C1DCM_C.mzML	180821_Smp_MS13C2175m_A.mzML	180821_Smp_MS13C2175m_B.mzML	180821_Smp_MS13C2175m_C.mzML	180821_Smp_MS13C2DCM_A.mzML	180821_Smp_MS13C2DCM_B.mzML	180821_Smp_MS13C2DCM_C.mzML	180821_Smp_MS13C315m_A.mzML	180821_Smp_MS13C315m_B.mzML	180821_Smp_MS13C315m_C.mzML	180821_Smp_MS14C215m_A.mzML	180821_Smp_MS14C215m_B.mzML	180821_Smp_MS14C215m_C.mzML	180821_Smp_MS14C2175m_A.mzML	180821_Smp_MS14C2175m_B.mzML	180821_Smp_MS14C2175m_C.mzML	180821_Smp_MS14C2DCM_A.mzML	180821_Smp_MS14C2DCM_B.mzML	180821_Smp_MS14C2DCM_C.mzML	180821_Smp_MS4C115m_A.mzML	180821_Smp_MS4C115m_B.mzML	180821_Smp_MS4C115m_C.mzML	180821_Smp_MS4C1175m_A.mzML	180821_Smp_MS4C1175m_B.mzML	180821_Smp_MS4C1175m_C.mzML	180821_Smp_MS4C1DCM_A.mzML	180821_Smp_MS4C1DCM_B.mzML	180821_Smp_MS4C1DCM_C.mzML	180821_Smp_MS5C115m_A.mzML	180821_Smp_MS5C115m_B.mzML	180821_Smp_MS5C115m_C.mzML	180821_Smp_MS5C1175m_A.mzML	180821_Smp_MS5C1175m_B.mzML	180821_Smp_MS5C1175m_C.mzML	180821_Smp_MS5C1DCM_A.mzML	180821_Smp_MS5C1DCM_B.mzML	180821_Smp_MS5C1DCM_C.mzML	180821_Smp_MS6C315m_A.mzML	180821_Smp_MS6C315m_B.mzML	180821_Smp_MS6C315m_C.mzML	180821_Smp_MS6C3175m_A.mzML	180821_Smp_MS6C3175m_B.mzML	180821_Smp_MS6C3175m_C.mzML	180821_Smp_MS6C3DCM_A.mzML	180821_Smp_MS6C3DCM_B.mzML	180821_Smp_MS6C3DCM_C.mzML	180821_Smp_MS7C115m_A.mzML	180821_Smp_MS7C115m_B.mzML	180821_Smp_MS7C115m_C.mzML	180821_Smp_MS7C1175m_A.mzML	180821_Smp_MS7C1175m_B.mzML	180821_Smp_MS7C1175m_C.mzML	180821_Smp_MS7C1DCM_A.mzML	180821_Smp_MS7C1DCM_B.mzML	180821_Smp_MS7C1DCM_C.mzML	180821_Smp_MS8C115m_A.mzML	180821_Smp_MS8C115m_B.mzML	180821_Smp_MS8C115m_C.mzML	180821_Smp_MS8C1175m_A.mzML	180821_Smp_MS8C1175m_B.mzML	180821_Smp_MS8C1175m_C.mzML	180821_Smp_MS8C1DCM_A.mzML	180821_Smp_MS8C1DCM_B.mzML	180821_Smp_MS8C1DCM_C.mzML	180821_Smp_MS9C215m_A.mzML	180821_Smp_MS9C215m_B.mzML	180821_Smp_MS9C215m_C.mzML	180821_Smp_MS9C2175m_A.mzML	180821_Smp_MS9C2175m_B.mzML	180821_Smp_MS9C2175m_C.mzML	180821_Smp_MS9C2DCM_A.mzML	180821_Smp_MS9C2DCM_B.mzML	180821_Smp_MS9C2DCM_C.mzML	180821_Std_4uMStdsMix1InH2O_1.mzML	180821_Std_4uMStdsMix1InH2O_2.mzML	180821_Std_4uMStdsMix1InH2O_3.mzML	180821_Std_4uMStdsMix1InMatrix_1.mzML	180821_Std_4uMStdsMix1InMatrix_2.mzML	180821_Std_4uMStdsMix1InMatrix_3.mzML	180821_Std_4uMStdsMix2InH2O_1.mzML	180821_Std_4uMStdsMix2InH2O_2.mzML	180821_Std_4uMStdsMix2InH2O_3.mzML	180821_Std_4uMStdsMix2InMatrix_1.mzML	180821_Std_4uMStdsMix2InMatrix_2.mzML	180821_Std_4uMStdsMix2InMatrix_3.mzML	180821_Std_H2OInMatrix_1.mzML	180821_Std_H2OInMatrix_2.mzML	180821_Std_H2OInMatrix_3.mzML
61.98709_5.21	0	0	270952261.516462	185045866.765583	97156138.8070805	264272528.752339	242837691.316321	136698152.841674	148122855.062767	128261622.210336	244331930.744742	149849454.017482	163029276.836688	90702031.7009251	141410773.07134	147767627.360809	166003592.778692	93543678.0111658	98388245.8914199	160835942.438766	220204846.9407	210279421.435473	162751342.298309	141698585.563192	141494038.083033	257099524.59704	179780321.040811	114222169.853155	256863914.279096	139626736.071991	75216133.1531095	95203951.4724086	119765656.278183	126703864.52421	128398388.146767	266957202.035363	147326411.578229	84447053.1189885	NA	NA	3404548298.73448	6262094027.64106	222974198.834517	188730464.121307	194706782.320401	278073487.090497	224759335.914231	218236472.059328	260536353.544033	210670838.377522	318418969.42398	310413390.178315	289893305.548899	251106523.664698	179648768.26362	115605504.097703	145811611.477376	147426505.256818	181881538.370468	210566435.271505	194029772.722123	173667203.250792	155087723.919582	83859841.1930137	131195169.120343	166185900.351853	273557531.932201	164861275.162039	221410768.982891	190537102.818223	133015285.064421	166027044.093212	160541937.820425	147180525.769221	142513257.698549	290296850.757858	214695517.768081	287374106.003421	163753764.093875	150170805.915198	273720484.880287	205706307.915371	195665517.63302	108677575.236561	166838340.673839	191275403.831582	249672092.956894	140105953.586093	244392331.585726	143917267.528234	101729762.945189	170829680.455806	145009382.247049	145503065.673931	155637477.799506	156148736.82575	153869700.959138	148977020.989594	154471292.834743	195046540.342824	165083709.577847	135701537.484515	271956503.217269	209659277.85875	207902285.224642	171063008.766783	207330653.587394	179609981.148411	170031315.837352	136988699.251743	205554927.174415	185230191.927511	80654618.8234027	178233718.745956	192519955.845208	243543701.920059	176103098.283159	177853167.534511	156980117.506529	229288973.519835	177176633.52922	204873945.442053	179176627.578327	199804472.632354	256627535.831045	122255420.243804	201776707.937797	187206569.955882	211812159.732366	208282380.785568	302359762.460301	271783024.423162	168431052.410464	179676203.242959	135335011.323569	181029237.202458	283461494.055571	210138874.175204	195365425.64424	157904480.039926	198877677.443511	183917040.221593	207949242.979087	133941549.139311	186868563.624565	126472019.045504	236296390.380466	280829773.095168	219389224.189917	196296387.854138	270758038.163305	206910368.452536	166375326.990813	NA	NA	NA	194949607.825028	294504557.608665	235629522.702895	NA	NA	NA	229144129.243136	219365124.408907	114438744.602573	174670967.338861	226182521.916392	248357417.386767
61.99523_9.12	0	0	666025906.954595	1270313747.5729	1335278097.37548	1078665901.2165	1129305505.10596	1203938467.0699	1215109892.18428	1018467053.15854	1022599463.41526	864984243.421621	1092263139.02716	1184888928.08826	1104895824.12974	1130525012.93419	985841221.439488	828780369.030161	885984614.072223	1154317893.19129	1324340641.04812	1107704636.84741	1165829939.9943	1093938407.07986	1069467159.60477	1412340085.37904	839674562.724449	902161850.224837	994997584.770442	955961329.912656	1147177121.25285	1027451972.59927	1149111684.26996	815190230.730346	911643925.451992	1090201303.0531	1084298502.49853	760187550.368813	NA	NA	4113736168.36643	3076557140.82048	292712348.177026	654216043.020981	532146507.154582	748344467.43061	816723281.024725	666424067.876002	599166971.154227	1111136930.67061	876920918.629707	836742710.393234	399463065.91955	253599450.540505	714074355.421	535307001.349532	1030271071.80336	455469914.602598	579168139.060362	670324634.998364	623114843.221081	137292890.412595	443821745.663106	566819043.697279	489428090.405626	610375065.178869	39615945.3210492	548904910.760254	502408344.10949	281446106.721189	628350847.708328	720100697.208037	767248808.024421	620146999.293284	585598833.27934	609558474.131968	458312940.756804	546752805.271665	575968743.889526	279000472.265136	226748396.000347	636517958.066884	613540850.591098	813178152.084775	558374224.177168	567003104.593406	700806729.741325	600700291.43877	779766300.472791	75548123.7037781	366137021.459568	764815360.608756	695837841.093996	826541534.713112	392306491.961667	665460425.706449	725061930.66679	216772576.791755	273491553.946239	326629894.211925	859344453.464038	555322803.563306	638239561.424873	600567945.628963	292525248.78027	512207813.635865	655132306.566532	666495985.651381	15371243.8903228	563571746.9917	663640413.977982	556571757.701806	522778689.122961	297888179.118004	248663609.690468	312261225.998421	246652489.649226	690180893.28487	940402128.89629	672492156.485355	539141343.27856	788638611.592888	237590648.676245	553296201.159404	567570196.23052	543383019.340299	637988988.017405	290115063.345876	616843629.437132	835454109.25429	621194150.951951	597700465.896815	656506740.668351	811482661.344348	602298347.912534	611141624.263797	594364941.056788	623246555.704967	532076780.731837	350871589.270368	663752839.5615	451965993.671876	272125491.987685	683935654.144089	745514902.878327	296805943.256166	596988084.515093	579040517.139565	569406533.423944	762954389.138247	422138577.667542	558309309.746705	343406052.210249	NA	NA	1384458807549.48	166038617.135573	209597865.290295	451891987.12982	NA	NA	NA	213240779.967795	186645063.341813	454077295.549513	169890136.168069	73106374.7526838	399437817.005394
62.99615_9.14	0	0	417560787.35419	453127641.394059	338231454.920906	909913680.754141	964902920.478454	884502894.167084	399880131.537707	430695732.726188	452330626.109739	416754536.222798	399149158.562186	417038681.687915	432234614.820852	418770440.870017	303454944.629379	388972649.567814	389899260.451641	412911278.448592	427309846.147538	426827387.326155	436970947.087114	414308055.322717	425141394.317059	398409518.526266	434915882.878091	414738631.575579	430091787.755747	410314834.945167	414599134.520793	421039061.539528	416754536.222798	446588040.300389	416470390.757681	422895562.212143	402628812.181762	390388844.714417	422169005.631951	691818771.297336	484060443.709219	446328290.311897	507388331.200187	466990618.91282	455443295.434369	466552924.610018	478337879.39758	228676460.732712	1041999349.96234	899553193.01051	975808725.29963	925735673.028301	669844427.140597	518241192.416061	495957256.486115	210108896.615323	472807116.165849	214193664.956699	317603217.50233	484462514.726306	329093452.174328	217136189.374478	325981863.054065	455839092.791061	299825343.478415	451070788.410717	21581429.9459226	466543141.032935	463404132.061238	92728539.844981	372875764.70349	336445100.561724	371800924.956231	249718243.385838	338116397.645274	463541174.224562	308824410.693866	460538707.219324	467163820.691046	312989404.920592	111698680.565946	428512638.823596	493505212.008127	482288819.722207	469245278.897768	485344466.384723	478323361.882261	208194219.461458	477519588.800739	71701796.1015674	214925876.860711	479461018.79586	484149210.848707	477812325.070532	324005807.020565	363218099.913383	409381914.609032	260874721.399611	532252972.968486	376527608.505828	309577649.977155	188381283.598166	491110378.72583	456723467.68712	253206214.308324	461829567.22762	374217505.040521	440591911.916327	11194843.6680734	516285629.068406	462942494.918016	448908679.142922	483693090.659238	194705605.988555	273849508.211757	486892052.694268	263089668.16034	456606459.561502	490188619.034128	477478045.662225	192343511.052221	307481388.131322	370139666.576755	358458280.954097	454183076.984228	348345033.678612	466801213.993421	477816954.039909	505039714.381392	469105624.848099	552016135.906652	472950799.269607	453597471.631987	489653507.774098	204411794.609945	476637583.626092	452415030.450421	238529411.362428	226215889.467802	317781045.614272	238587599.482823	186133434.380579	273554672.392924	500025889.001727	419631697.48489	199219173.750644	466211598.023819	236400672.485343	463059142.565655	555635527.941694	239585434.904177	446879089.878226	254885624.929334	699822802.751248	24051500.1008256	652438195.494681	447266330.456573	205426968.789324	170328777.195313	660202394.290018	43900960.1435509	388800712.795503	323262280.137534	173956056.933865	162658490.628162	301496451.293675	466692767.09607	162422073.983539
74.98959_2.24	0	0	2850649.86421771	1835952.66740581	577316.779043474	1877081.97027021	6711555.83559506	4881244.00089332	1177247.32571025	396902.467441283	599781.281734722	951307.713738717	1955044.28405575	4551908.79899705	255496.325503983	0	773606.792359121	308953.318700945	2382830.43637087	3615677.07687898	635928.148535042	183833.965761289	444669.087672995	3569785.7173894	1500626.71546496	3002881.7742775	5139402.7869567	6021069.49424239	1025432.2746953	2200167.99409705	365427.993464287	824901.464061727	0	2865542.21205511	2935738.12548459	3207479.19532925	226304.651729038	619618.374171888	NA	NA	0	5735321.23897603	3010178.86292518	4471074.77701124	3830696.35691457	4266975.02311904	4128900.2267255	3784187.30528878	4097421.73284782	6125623.62029357	6033528.96215963	5533648.2835659	4793631.54482566	3584009.47651069	1376003.43387961	2322500.06685595	2558987.95417969	2727873.03043462	2643669.52573646	4542993.86191507	2974497.58905411	6517537.11194747	4096678.77037629	2185846.03147051	2556914.60923429	224166.926363138	1965572.286621	584793.154989621	2166142.99305444	2534753.18030678	0	2989434.14170547	2770922.41954996	2047913.62977101	915471.972629815	947544.663579758	5122684.75738251	3878029.96439679	3309645.07575786	3326593.54264114	3667081.43758205	2868763.0150453	6143444.38050879	1358267.29414942	1973570.81623439	3206322.39887702	5177578.41084329	3176239.03592552	4700138.45742913	1933136.67397793	2751051.12397644	1951656.60705821	3175498.51203686	2240329.68886503	2474550.39646376	3482254.98545124	1414189.82513717	3408281.78874109	2600871.50241697	2602604.37329489	4484347.50349843	2736796.81105017	4502987.29749172	2465609.35736625	3440285.56545218	4968868.2367427	6480890.104159	2092758.46423303	1515037.8684419	2962976.80527941	2621930.32229734	4807876.31822132	1228980.23954501	4975320.02365924	2975949.19977675	5835549.68522951	4407279.77325577	4017516.69177175	2503722.1196701	2663380.66756194	4687189.48361762	2393960.77150616	946491.475372792	2717145.31731757	10972301.00212	627999.095961608	5295784.42864535	0	6208976.7221675	4258614.5580442	3838328.2711959	955842.846552683	2387313.62853576	5805298.79159495	900009.929961754	3778572.43179791	3231877.51728086	3458809.64125995	3732725.23191058	1924457.94913558	3658389.7750402	4601528.09620764	9015468.14122245	1485369.41432086	2572431.82846537	3773155.80751053	4479121.5786641	4569007.07317242	1484706.88805139	640496.107757938	3183079.66729284	10963775.7539038	2760169.24940613	NA	NA	NA	2558429.94602909	2235330.40359831	2964649.04534229	NA	NA	NA	2567475.65257953	2323578.71524493	2204474.8284837	2668389.19170927	1904398.61429287	2971385.47937407
78.91771_8.84	0	0	2179651943.37709	2456136910.07113	2236387322.18728	4764560959.69708	2738715931.16194	2050488605.0077	1570509491.8943	2016513122.49905	2114345808.33952	1524780660.20497	2032885231.97991	2030901498.40917	2089453090.42742	1881726027.28392	2068386882.00172	2216022536.25711	1826172329.23001	2388588329.25123	2320443385.80702	2138934497.68135	1940021663.27358	2006581119.22749	2064152103.67711	2777391619.71171	1982228354.22064	1652246484.77624	1974925697.9022	1909361558.09718	2207088163.87873	1907341940.38583	1642557951.44224	1651716139.3694	1607874782.362	2062684081.14059	2031321372.96264	1548617860.5695	NA	NA	19369345034.5752	8718651028.38923	1721902745.7324	3758925011.50804	2921746315.94735	3603468014.04654	17831584.8835308	10835005.2287394	1602822790.09251	3741218503.8552	3206577430.21549	3666085617.5405	2675222759.27374	2296921213.57989	4760885150.79072	2000229077.07795	2740141975.71362	2120647095.28595	2218787041.40668	2679203653.08604	2226726560.27889	3082566.09486522	2058520277.21185	2404757643.03345	3404571869.07374	2091868081.8097	1989504149.98517	2231908312.80161	2113639010.94974	2474638311.44217	2754238195.09441	2508516695.09246	4078506332.466	6045011.08333272	2458359769.3742	3049743244.38213	12563664.9826346	2107244542.27586	2764819718.96308	1908599507.05278	2186066093.44549	2826231007.12254	1833807309.91734	2428739891.50105	2494968182.89904	2235459072.98847	2481232840.45568	2971034756.41768	2813461325.91451	2259329153.11517	4020684.86348388	2730621846.48145	2312065348.24969	2420420372.28894	1774432001.84168	3354969712.69342	3096495663.05539	1347542702.21551	2283774853.95589	2193966180.58994	2548588844.58433	3638070.99868856	3979534628.87208	2304994366.20686	2405896484.83698	2560717086.2851	3119993288.05161	2992082968.70639	11746935.7780024	2702320018.09922	2699720417.24326	3078207299.51324	1994952482.96491	6998891.92500169	1688722415.91971	1864982729.91796	8579901.07007331	2089141896.26409	2366476466.54327	2392324591.15445	5744482.56428718	2416569573.61124	1833814362.52334	3045358272.87697	3117645476.10675	2285534785.6525	3251781673.93845	1891315914.55269	3407630266.23705	2353685457.83543	3482160597.60321	1911596909.80006	3068438407.28072	2306848109.42901	3262071447.97469	2310158908.94707	3355948976.13648	9432443.16444211	16926876.2735855	1234609180.48034	5458424.04516696	2307368216.36505	1353684452.46221	2675524153.6957	3230693856.0111	1871417605.29762	2701190643.56139	15032534.7991908	2248564798.72285	3070958725.82792	14907709.7196834	3441247120.99664	7512189.66308431	NA	NA	NA	1831258104.12615	3234929627.31258	3673101394.6333	NA	NA	NA	1754936204.98327	2894713655.4342	3868296575.3377	1660450974.72878	3066501625.95064	3538532060.23086
79.95616_14.67	0	0	165588430.613807	156779268.535576	164056531.031867	202563372.881815	164368247.884705	160488760.087127	184863906.962638	150900122.655604	151482970.092936	150477562.234937	195052755.206036	166805961.686685	153965307.996516	150831093.175397	184371221.148653	145533681.608232	147385165.65027	171972479.774116	176133422.275278	163780127.773542	162505658.750636	150058481.317285	161342591.292673	189126887.121305	145512907.054905	138991067.087018	137059547.717646	161489513.222225	173494095.237687	152848396.636428	152670847.306555	116104375.914258	134406129.88805	164116680.304479	164633861.298004	121347673.155387	290794155.563845	70862217.8382628	352482640.676295	616087408.318467	204092749.053171	229927346.682746	196112949.799515	192028111.470743	181858923.132284	181949306.440708	235533660.325533	226719464.83446	211432949.637995	207838650.315744	213476194.553694	211413200.392279	287516931.760929	120401438.361628	157311742.711669	129945598.433527	121870218.172784	143639796.365566	138200533.439944	106962992.38333	134418671.02486	153314624.713245	218979964.211015	154886198.678214	130343978.93102	133797976.097109	115314930.211358	140050010.767498	243248186.386533	140154332.641346	178058675.964241	119940695.443042	118109810.01647	186194541.533654	131414459.199736	112494867.535	209753051.136235	105107812.197003	126857769.483166	193319180.904998	143795189.900503	124694933.602378	183229839.566785	108704375.316881	139257877.282215	147765343.875439	172925482.669733	121175122.859182	111427878.699578	129253054.475381	129204501.722766	137393405.210359	119637131.040645	215789647.170505	221476789.693835	102535642.368356	139989513.781784	271592362.616565	143488317.636887	126937558.699415	251984703.244028	158919175.046035	109882400.568996	176375342.894075	241976675.284919	170036455.066126	113549974.188769	177184932.73866	139078129.305067	208445773.909896	110453817.376062	126270012.177692	114952455.365601	249125187.351041	113041665.165013	166358814.867103	150470796.514931	130668049.468457	135210270.925711	147012040.016795	258836125.804878	214722786.635163	196679756.726321	157590109.22825	170382256.032615	287639339.198229	170411057.051261	134508907.984066	204088374.648225	139160162.772921	168536377.64555	141814288.933349	173055932.642873	145352723.734895	196430188.303069	140262658.326492	140359718.369578	70019488.4817276	119313295.134603	138955200.123795	105658325.400621	194753406.105661	171652857.435663	112480062.782394	183948104.353371	148972452.484063	156282203.377474	211160852.633759	127838623.314615	206007217.777835	119200836.180589	NA	NA	NA	189386192.539785	192835708.573726	176484330.346144	NA	NA	NA	173561551.431851	163106227.362315	184773102.70697	213225014.139699	180827983.653059	185646711.088422
91.01774_1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	44143623.6123993	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	NA	NA	NA	5173590.50882031	6457781.09392311	6911234.00263261	0	0	0
93.00021_4.75	2878286.30242219	3664708.63234595	3097376.89541685	5123048.00955178	3511063.20740061	3632551.12897974	4480447.56030648	5144862.90893678	1005167.36943263	2467419.60263146	1747887.11273022	3859293.09014699	2866353.84589684	4116329.96581834	2589315.88150512	2667475.105279	3629624.94935217	2683932.64032763	1818021.9012715	2250851.8616646	3860652.89151143	2941612.56285677	2510722.23864872	3082653.47582042	4855596.39005507	3463644.03437515	4082960.85214038	4352684.34824162	3121656.14400435	3731142.81010963	4424576.6100779	3295016.18992409	3617401.00460257	5362235.87370842	5583832.87404171	6924639.14516768	3025057.8223914	4058205.87753806	NA	NA	3263775.50919269	18798980.591798	6402293.03491735	9855239.48446287	6364014.47987848	9296652.24374509	5212451.39224502	5100981.03997306	8903104.76077745	11328713.4195518	9228171.81222132	10952166.6650306	6805126.03142387	3947162.29777751	3631359.13735738	6279073.66928282	11643512.9737434	6447764.02498105	7038639.92908215	15983569.0291604	9441482.30171943	20101571.3320588	9490494.74011332	5567234.42848217	9913110.99584922	6804565.70423124	18099521.789868	2480357.78483466	10291929.2326025	17705028.7955621	3544961.13247542	6788450.23667683	7787439.89585793	6120471.33549273	13082528.5070186	2987515.63367724	12835521.737172	20507931.438635	12682775.9985995	12524330.6700709	17290400.2331272	7689549.75239427	17137510.3314507	6517513.74728602	6773741.02346459	11296570.6990443	32789583.6768633	15576354.6440634	5433007.97935922	14683744.7785753	7113149.03276636	12773594.8707936	15893655.1395913	11962536.233728	9741408.56123389	10493027.7685791	4212535.18278627	9213198.81832612	11670015.3308455	3495330.80913944	10358049.7704621	10483226.8890907	16476544.7008006	8623661.23694157	20072153.5016683	14989110.9092079	3622783.80744046	13881173.0360518	20717139.284289	8460460.15166762	11048343.584535	19203635.4201271	5932112.38081784	13625636.5283387	12850915.7646875	5091631.39643708	14957609.0468581	18166993.8727443	17981278.0089931	11954380.1968364	12346130.7363171	6794690.32367525	3820116.40037657	12352070.9328371	9159445.51635652	4448168.15581091	25052028.442898	2811868.2682894	25501412.9816316	14835597.6583654	10717244.3676566	5193886.68256075	14039685.9425329	12457224.7631778	13442400.2939044	14058964.2172526	8821125.09529773	10922524.7294385	8427363.86689362	6190655.50549908	9686013.73078593	12940216.7357275	10930229.0457874	5810141.4449249	22384988.1188471	9470913.03368444	15557484.4695188	13294625.4025164	6327446.20438022	4774094.58318878	8194113.44973039	10871648.5854621	7810305.26234366	NA	NA	NA	4143191.73480501	6273938.05406737	4643554.15268836	NA	NA	NA	3565866.79730234	5329280.85227508	2565672.04798787	5394596.63931895	5613065.12855609	4862234.55009054
102.02658_6.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	NA	NA	NA	1064990796.52859	817485722.198057	499153574.151096	0	0	0
102.02662_2.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	NA	NA	NA	1361858.64558761	3779962.66377872	4721445.81765034	0	0	0
104.04227_7.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107371.027153509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67692.1277454593	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	NA	NA	NA	31503871.4024108	18770685.3275538	19738313.2148385	0	0	0
